          VERSOR NORMAL         ,   AREA [m2]     ,          CP      
  0.000    0.000    1.000     0.025     1.488963426920
  0.000    0.000    1.000     0.025     1.488944582872
  0.000    0.000    1.000     0.025     1.488905948453
  0.000    0.000    1.000     0.025     1.488847927532
  0.000    0.000    1.000     0.025     1.488770980254
  0.000    0.000    1.000     0.025     1.488660630393
  0.000    0.000    1.000     0.025     1.488553375621
  0.000    0.000    1.000     0.025     1.488411748652
  0.000    0.000    1.000     0.025     1.488249248573
  0.000    0.000    1.000     0.025     1.488064421287
  0.000    0.000    1.000     0.025     1.487856291682
  0.000    0.000    1.000     0.025     1.487623856941
  0.000    0.000    1.000     0.025     1.487366020355
  0.000    0.000    1.000     0.025     1.487081581325
  0.000    0.000    1.000     0.025     1.486769281345
  0.000    0.000    1.000     0.025     1.486428289458
  0.000    0.000    1.000     0.025     1.486042776573
  0.000    0.000    1.000     0.025     1.485647692736
  0.000    0.000    1.000     0.025     1.485204037465
  0.000    0.000    1.000     0.025     1.484723550948
  0.000    0.000    1.000     0.025     1.484202891556
  0.000    0.000    1.000     0.025     1.483639019001
  0.000    0.000    1.000     0.025     1.483028663846
  0.000    0.000    1.000     0.025     1.482368233320
  0.000    0.000    1.000     0.025     1.481653769251
  0.000    0.000    1.000     0.025     1.480880957122
  0.000    0.000    1.000     0.025     1.480045567304
  0.000    0.000    1.000     0.025     1.479128053839
  0.000    0.000    1.000     0.025     1.478158961324
  0.000    0.000    1.000     0.025     1.477094724472
  0.000    0.000    1.000     0.025     1.475941693038
  0.000    0.000    1.000     0.025     1.474690529679
  0.000    0.000    1.000     0.025     1.473331417314
  0.000    0.000    1.000     0.025     1.471853408693
  0.000    0.000    1.000     0.025     1.470244187866
  0.000    0.000    1.000     0.025     1.468489856458
  0.000    0.000    1.000     0.025     1.466574737629
  0.000    0.000    1.000     0.025     1.464481567345
  0.000    0.000    1.000     0.025     1.462175978540
  0.000    0.000    1.000     0.025     1.459670777768
  0.000    0.000    1.000     0.025     1.456902776673
  0.000    0.000    1.000     0.025     1.453854835282
  0.000    0.000    1.000     0.025     1.450490370241
  0.000    0.000    1.000     0.025     1.446767583250
  0.000    0.000    1.000     0.025     1.442637817121
  0.000    0.000    1.000     0.025     1.438044064806
  0.000    0.000    1.000     0.025     1.432919172144
  0.000    0.000    1.000     0.025     1.427183622667
  0.000    0.000    1.000     0.025     1.420743120100
  0.000    0.000    1.000     0.025     1.413470224431
  0.000    0.000    1.000     0.025     1.405261955557
  0.000    0.000    1.000     0.025     1.395914991372
  0.000    0.000    1.000     0.025     1.385235574751
  0.000    0.000    1.000     0.025     1.372965356571
  0.000    0.000    1.000     0.025     1.358779975472
  0.000    0.000    1.000     0.025     1.342265856835
  0.000    0.000    1.000     0.025     1.322887197438
  0.000    0.000    1.000     0.025     1.299936666164
  0.000    0.000    1.000     0.025     1.272458875559
  0.000    0.000    1.000     0.025     1.239126107315
  0.000    0.000    1.000     0.025     1.198010514615
  0.000    0.000    1.000     0.025     1.146234040554
  0.000    0.000    1.000     0.025     1.079037759126
  0.000    0.000    1.000     0.025     0.987905913944
  0.000    0.000    1.000     0.025     0.854763251847
  0.000    0.000    1.000     0.025     0.628709496143
  0.000    0.000    1.000     0.025     0.438604470145
  0.000    0.000    1.000     0.025     0.438599772657
  0.000    0.000    1.000     0.025     0.438589145613
  0.000    0.000    1.000     0.025     0.438573191812
  0.000    0.000    1.000     0.025     0.438552025899
  0.000    0.000    1.000     0.025     0.438520997970
  0.000    0.000    1.000     0.025     0.438492011663
  0.000    0.000    1.000     0.025     0.438452874350
  0.000    0.000    1.000     0.025     0.438407944232
  0.000    0.000    1.000     0.025     0.438356809753
  0.000    0.000    1.000     0.025     0.438299172956
  0.000    0.000    1.000     0.025     0.438234729873
  0.000    0.000    1.000     0.025     0.438163150313
  0.000    0.000    1.000     0.025     0.438084074605
  0.000    0.000    1.000     0.025     0.437997127198
  0.000    0.000    1.000     0.025     0.437902029534
  0.000    0.000    1.000     0.025     0.437793717388
  0.000    0.000    1.000     0.025     0.437683619003
  0.000    0.000    1.000     0.025     0.437559067757
  0.000    0.000    1.000     0.025     0.437423875758
  0.000    0.000    1.000     0.025     0.437277042367
  0.000    0.000    1.000     0.025     0.437117621813
  0.000    0.000    1.000     0.025     0.436944595457
  0.000    0.000    1.000     0.025     0.436756842034
  0.000    0.000    1.000     0.025     0.436553123397
  0.000    0.000    1.000     0.025     0.436332085430
  0.000    0.000    1.000     0.025     0.436092355976
  0.000    0.000    1.000     0.025     0.435827666969
  0.000    0.000    1.000     0.025     0.435548017460
  0.000    0.000    1.000     0.025     0.435239245980
  0.000    0.000    1.000     0.025     0.434903395324
  0.000    0.000    1.000     0.025     0.434537485467
  0.000    0.000    1.000     0.025     0.434138322226
  0.000    0.000    1.000     0.025     0.433702326741
  0.000    0.000    1.000     0.025     0.433225454192
  0.000    0.000    1.000     0.025     0.432703118036
  0.000    0.000    1.000     0.025     0.432130117104
  0.000    0.000    1.000     0.025     0.431500643881
  0.000    0.000    1.000     0.025     0.430803355108
  0.000    0.000    1.000     0.025     0.430042160958
  0.000    0.000    1.000     0.025     0.429196102741
  0.000    0.000    1.000     0.025     0.428259059908
  0.000    0.000    1.000     0.025     0.427218523805
